location,label,original,fake
para#213,COMPANY,Bonus Issue,Pinnacle Corp
para#213,COMPANY,Indian Accounting Standard,Cobalt Industries Ltd.
para#213,COMPANY,Diluted EPS,Lakeside Manufacturing
para#213,COMPANY,EPS,Redstone Group
para#214,COMPANY,Bonus,Acme Industries Limited
para#214,COMPANY,Split of Equity Shares,Northstar Corporation
para#214,COMPANY,Weighted,Bluewater Holdings
para#226,COMPANY,Executive Directors,Summit Enterprises Ltd.
para#226,COMPANY,Rakhi Girija Shetty,Silverline Corp
para#226,PERSON,Rohit Kushal Hegde,John Johnson
para#226,PERSON,Rajesh Kushal Hegde,John Williams
para#226,PERSON,Kushal Subbayya Hegde,John Jones
para#227,COMPANY,Ganesh Prasad,Vertex Global Limited
para#227,PERSON,Sarthak Malvadkar,John Doe
para#227,PERSON,Amod Joshi,John Garcia
para#227,PERSON,Sandesh Bhagwat,John Miller
para#229,COMPANY,Group Companies,Ironwood Holdings
para#233,COMPANY,Bidders,Lakeside Manufacturing
para#253,COMPANY,Promoter Group,Horizon Manufacturing Ltd.
para#254,PERSON,Promoter,John Davis
para#262,COMPANY,Equity Share,Crestview Industries
para#262,PERSON,Pursuant,John Rodriguez
para#263,COMPANY,Kirtane & Pandit LLP,Silverline Corp
para#268,COMPANY,Kirtane & Pandit LLP,Silverline Corp
para#277,COMPANY,Kirtane & Pandit LLP,Silverline Corp
para#278,COMPANY,Promoter Selling Shareholders,Pinnacle Corp
para#279,COMPANY,Promoter Selling Shareholders,Pinnacle Corp
para#280,COMPANY,Equity,Horizon Manufacturing Ltd.
para#280,COMPANY,Promoter Selling Shareholders,Pinnacle Corp
para#280,COMPANY,Promoter Group,Horizon Manufacturing Ltd.
para#283,COMPANY,Kirtane & Pandit LLP,Silverline Corp
para#286,COMPANY,Bonus,Acme Industries Limited
para#288,PERSON,Secondary Transfer of,John Martinez
para#294,COMPANY,Capital Structure,Crestview Industries
para#296,COMPANY,Shareholders,Meridian Group
para#305,COMPANY,Restated Financial Statements,Lakeside Manufacturing
para#307,COMPANY,Market Data and Currency of Presentation,Falcon Enterprises Limited
para#307,COMPANY,Financial Information,Ironwood Holdings
para#307,COMPANY,Care Analytics and,Bluewater Holdings
para#308,COMPANY,INTERNAL RISKS,Pinnacle Corp
para#320,COMPANY,Virginia Transformer Corporation,Cobalt Industries Ltd.
para#320,COMPANY,Transformers & Rectifiers,Lakeside Manufacturing
para#320,PERSON,Nidec Industrial Automation India Private Limited,John Hernandez
para#320,COMPANY,Georgia Transformer Corporation,Redstone Group
para#320,COMPANY,Emirates Transformer & Switchgear Limited,Acme Industries Limited
para#320,COMPANY,CG Power,Northstar Corporation
para#320,PERSON,Bijlee Limited,John Lopez
para#320,COMPANY,Al-Ahleia Switchgear Co.,Bluewater Holdings
para#348,COMPANY,Vedanta Limited Sterlite Copper,Summit Enterprises Ltd.
para#348,COMPANY,Savli Copper Products Private Limited,Vertex Global Limited
para#348,COMPANY,Polycom Associates,Silverline Corp
para#348,COMPANY,Hindalco Industries Limited,Horizon Manufacturing Ltd.
para#348,COMPANY,Beck India Limited,Crestview Industries
para#348,COMPANY,Cindus Corporation,Meridian Group
para#348,COMPANY,Ahlstrom Sweden AB,Falcon Enterprises Limited
para#359,COMPANY,London Metal Exchange,Ironwood Holdings
para#382,PERSON,Excludes,John Wilson
para#392,PERSON,Supa Facility,John Anderson
para#392,PERSON,Supa Facility,John Anderson
para#394,COMPANY,Proposed Capital Expenditure,Pinnacle Corp
para#395,COMPANY,Proposed Capital Expenditure,Pinnacle Corp
para#395,COMPANY,Proposed Capital Expenditure,Pinnacle Corp
para#395,COMPANY,Proposed Capital Expenditure,Pinnacle Corp
para#401,COMPANY,Supa Facility,Cobalt Industries Ltd.
para#401,COMPANY,Supa Facility,Cobalt Industries Ltd.
para#402,COMPANY,Supa Facility,Cobalt Industries Ltd.
para#402,PERSON,Supa Facility,John Anderson
para#406,COMPANY,CTC,Lakeside Manufacturing
para#410,COMPANY,Certifications,Redstone Group
para#410,COMPANY,"Business - Quality Control, Services",Acme Industries Limited
para#417,COMPANY,"Ministry of Commerce and Industry, Government of India",Northstar Corporation
para#418,COMPANY,CTS,Bluewater Holdings
para#429,COMPANY,KSH International Private Limited,Northstar Corporation
para#429,COMPANY,Callings and Employment Act,Summit Enterprises Ltd.
para#429,COMPANY,Maharashtra Sales Tax Department,Vertex Global Limited
para#434,COMPANY,Supa Facility,Cobalt Industries Ltd.
para#434,COMPANY,Supa Facility,Cobalt Industries Ltd.
para#441,COMPANY,KSH International Private Limited,Northstar Corporation
para#441,COMPANY,Bhandary Metal Extrusion Private Limited,Bluewater Holdings
para#442,PERSON,Rajesh Kushal Hegde,John Williams
para#443,PERSON,Rohit Kushal Hegde,John Johnson
para#444,PERSON,Rohit Kushal Hegde,John Johnson
para#456,COMPANY,Kanj,Silverline Corp
para#457,COMPANY,Capital Structure,Crestview Industries
para#457,COMPANY,MoA,Horizon Manufacturing Ltd.
para#457,PERSON,Jayaram N. Shetty,John Thomas
para#457,PERSON,Narayna B. Shetty,John Taylor
para#457,PERSON,Kushal Subbayya Hegde,John Jones
para#457,PERSON,Karunakar N. Bhandary,John Moore
para#464,COMPANY,Care Analytics and,Bluewater Holdings
para#465,COMPANY,CareEdge Research,Northstar Corporation
para#465,COMPANY,CareEdge Research,Northstar Corporation
para#468,COMPANY,Market Data and Currency of,Crestview Industries
para#468,COMPANY,Financial Information,Ironwood Holdings
para#477,COMPANY,Trade,Meridian Group
para#477,COMPANY,COGS,Falcon Enterprises Limited
para#477,COMPANY,Inventory,Ironwood Holdings
para#477,COMPANY,Trade,Meridian Group
para#479,COMPANY,COGS,Falcon Enterprises Limited
para#479,COMPANY,Trade,Meridian Group
para#488,COMPANY,Executive Directors,Summit Enterprises Ltd.
para#488,COMPANY,Rakhi Girija Shetty,Silverline Corp
para#488,PERSON,Rohit Kushal Hegde,John Johnson
para#488,PERSON,Rajesh Kushal Hegde,John Williams
para#488,PERSON,Kushal Subbayya Hegde,John Jones
para#489,COMPANY,Ganesh Prasad,Vertex Global Limited
para#489,PERSON,Sarthak Malvadkar,John Doe
para#489,PERSON,Amod Joshi,John Garcia
para#489,PERSON,Sandesh Bhagwat,John Miller
para#491,COMPANY,Group Companies,Ironwood Holdings
para#510,COMPANY,CTC,Lakeside Manufacturing
para#515,COMPANY,CTC,Lakeside Manufacturing
para#521,COMPANY,CTC,Lakeside Manufacturing
para#527,PERSON,Alpha,John Jackson
para#527,PERSON,Taluka Parner,John Martin
para#527,COMPANY,Plot No. F-223,Pinnacle Corp
para#535,PERSON,Supa Facility,John Anderson
para#535,COMPANY,Manufacturing Facilities,Cobalt Industries Ltd.
para#535,COMPANY,Taloja (Raigad,Lakeside Manufacturing
para#540,COMPANY,Promoter Selling Shareholders,Pinnacle Corp
para#545,PERSON,ISO 45001:2018,John Lee
para#545,PERSON,ISO 14001:2015,John Perez
para#545,PERSON,ISO 9001:2015,John Thompson
para#547,COMPANY,TDS,Redstone Group
para#557,COMPANY,& Goods and Services Tax,Acme Industries Limited
para#558,COMPANY,Employer and Employee Contribution,Northstar Corporation
para#570,COMPANY,Supa Facility,Cobalt Industries Ltd.
para#583,COMPANY,Care Ratings Limited,Bluewater Holdings
para#590,COMPANY,SEK,Crestview Industries
para#590,COMPANY,Indian Rupees,Summit Enterprises Ltd.
para#594,COMPANY,Fraud,Summit Enterprises Ltd.
para#595,COMPANY,Fraud,Summit Enterprises Ltd.
para#604,COMPANY,Bank,Vertex Global Limited
para#611,COMPANY,inter alia,Silverline Corp
para#617,COMPANY,Key Management Personnel,Horizon Manufacturing Ltd.
para#617,COMPANY,Individual Promoters,Crestview Industries
para#618,COMPANY,Rakhi Girija Shetty,Silverline Corp
para#618,PERSON,Rohit Kushal Hegde,John Johnson
para#618,PERSON,Rajesh Kushal Hegde,John Williams
para#618,PERSON,Pushpa Kushal Hegde,John Brown
para#619,COMPANY,Individual Promoters,Crestview Industries
para#631,COMPANY,“Our Management,Meridian Group
para#634,COMPANY,inter alia,Silverline Corp
para#634,PERSON,Ajay Shriram Patil,John White
para#634,COMPANY,Dinesh Hirachand Munot,Falcon Enterprises Limited
para#634,COMPANY,Independent Directors,Ironwood Holdings
para#634,COMPANY,Independent Directors,Ironwood Holdings
para#638,COMPANY,India Scheme,Pinnacle Corp
para#642,COMPANY,MIP,Cobalt Industries Ltd.
para#642,COMPANY,MIP,Cobalt Industries Ltd.
para#642,COMPANY,Maharashtra State Government,Lakeside Manufacturing
para#642,PERSON,Supa Facility,John Anderson
para#643,COMPANY,Directorate General of Foreign Trade,Redstone Group
para#643,COMPANY,"Ministry of Commerce and Industry, Department of Commerce",Acme Industries Limited
para#648,COMPANY,KSH,Northstar Corporation
para#648,COMPANY,Group Entities,Bluewater Holdings
para#648,COMPANY,Park IV Private Limited,Summit Enterprises Ltd.
para#648,PERSON,Waterloo Industrial,John Harris
para#648,PERSON,Waterloo Industrial,John Harris
para#648,PERSON,Waterloo Industrial,John Harris
para#648,PERSON,Waterloo Industrial,John Harris
para#648,COMPANY,xiv,Vertex Global Limited
para#648,PERSON,Waterloo Industrial Park VI Private Limited,John Smith
para#648,PERSON,Waterloo Industrial Park V Private Limited,John Sanchez
para#648,PERSON,Waterloo Industrial Park IV Private Limited,John Clark
para#648,PERSON,Waterloo Industrial Park III Private Limited,John Ramirez
para#648,PERSON,Waterloo Industrial,John Harris
para#648,PERSON,Waterloo Industrial Park,John Lewis
para#648,COMPANY,Electricals Private Limited,Silverline Corp
para#648,COMPANY,Kushal Motors,Horizon Manufacturing Ltd.
para#648,COMPANY,KSH Integrated Logistics Private Limited,Crestview Industries
para#648,COMPANY,KSH Distriparks Private Limited,Meridian Group
para#648,COMPANY,KSH Project Management Services Private Limited,Falcon Enterprises Limited
para#648,COMPANY,Waterloo Motors Private Limited,Ironwood Holdings
para#648,COMPANY,KSH,Northstar Corporation
para#658,COMPANY,Bank Balances and Advances,Pinnacle Corp
para#658,COMPANY,Bank Balances,Cobalt Industries Ltd.
para#658,COMPANY,Freehold Land and Leasehold Land,Lakeside Manufacturing
para#658,COMPANY,Capital Work,Redstone Group
para#659,COMPANY,Transit Insurance,Acme Industries Limited
para#669,COMPANY,Board of Directors,Northstar Corporation
para#672,COMPANY,"Audit Committee, Board",Bluewater Holdings
para#673,COMPANY,Promoter Group,Horizon Manufacturing Ltd.
para#674,COMPANY,Promoter Group,Horizon Manufacturing Ltd.
para#674,COMPANY,Equity Share,Crestview Industries
para#676,COMPANY,Cloud Services Vendor’s,Summit Enterprises Ltd.
para#679,COMPANY,Shareholders,Meridian Group
para#679,PERSON,SEBI ICDR,Peter Doe
para#679,PERSON,SEBI ICDR,Peter Doe
para#679,PERSON,Supa Facility,John Anderson
para#679,PERSON,Supa Facility,John Anderson
para#680,COMPANY,Net Proceeds,Vertex Global Limited
para#686,PERSON,Pushpa Hegde,Peter Parker
para#686,PERSON,Kushal Subbayya Hegde,John Jones
para#689,COMPANY,Promoter Selling Shareholders,Pinnacle Corp
para#690,COMPANY,Promoter Selling,Silverline Corp
para#696,COMPANY,IPO Committee,Horizon Manufacturing Ltd.
para#698,COMPANY,Promoter Selling Shareholders,Pinnacle Corp
para#702,PERSON,SEBI ICDR,Peter Doe
para#702,PERSON,SEBI ICDR,Peter Doe
para#702,COMPANY,Promoter Selling Shareholders,Pinnacle Corp
para#704,COMPANY,Bids,Crestview Industries
para#704,COMPANY,Allotment,Meridian Group
para#704,COMPANY,Bidders,Lakeside Manufacturing
para#706,COMPANY,Non-Institutional Investors,Falcon Enterprises Limited
para#706,COMPANY,Non-Institutional Portion,Ironwood Holdings
para#706,COMPANY,Bidders,Lakeside Manufacturing
para#706,COMPANY,Non-Institutional Portion,Ironwood Holdings
para#706,COMPANY,Non-Institutional Investors,Falcon Enterprises Limited
para#706,COMPANY,each Retail Individual Investors,Pinnacle Corp
para#706,COMPANY,Bids,Crestview Industries
para#706,COMPANY,Non-Institutional Investors and Retail Individual Investors,Cobalt Industries Ltd.
para#708,COMPANY,Bids,Crestview Industries
para#708,COMPANY,Allotment,Meridian Group
para#708,COMPANY,Bids,Crestview Industries
para#708,COMPANY,Mutual Funds,Lakeside Manufacturing
para#708,COMPANY,Mutual Funds,Lakeside Manufacturing
para#708,PERSON,SEBI ICDR,Peter Doe
para#708,PERSON,Mutual Funds,Peter Smith
para#708,COMPANY,"Mutual Funds, Life Insurance Companies and Pension Funds",Redstone Group
para#708,COMPANY,Bids,Crestview Industries
para#708,COMPANY,Life Insurance Companies and Pension Funds,Acme Industries Limited
para#708,PERSON,SEBI ICDR,Peter Doe
para#710,COMPANY,Bids,Crestview Industries
para#720,PERSON,Taluka-Khed,Peter Johnson
para#720,COMPANY,Village Birdewadi Chakan,Northstar Corporation
para#725,COMPANY,Montreal Business Centre Off Pallod Farms,Bluewater Holdings
para#726,ADDRESS,"Pune 411 045 Maharashtra, India","103 Elm Road, Georgetown, ST 10003"
para#733,ADDRESS,"PCNTDA Green Building Block A 1st and 2nd floor Near Akurdi Railway Station Akurdi, Pune – 411 044 Maharashtra, India","104 Birchwood Drive, Clinton, ST 10004"
para#734,COMPANY,Board of Directors,Northstar Corporation
para#735,COMPANY,Board of Directors,Northstar Corporation
para#739,COMPANY,Board of Directors,Northstar Corporation
para#742,PERSON,Sarthak Malvadkar,John Doe
para#743,ADDRESS,"Taluka Khed, District Pune – 410 501","105 Willow Court, Madison, ST 10005"
para#745,PHONE,91 20 45053237,+91 10000 01
para#746,EMAIL,Sarthak.malvadkar@kshinterantional.com,john.doe@example.com
para#748,COMPANY,Allotted Equity Shares,Summit Enterprises Ltd.
para#748,COMPANY,Allotment,Meridian Group
para#748,PERSON,Registrar,Peter Williams
para#749,COMPANY,ASBA Bidders,Vertex Global Limited
para#749,COMPANY,Registrar,Silverline Corp
para#749,COMPANY,Registrar,Silverline Corp
para#749,COMPANY,Registered Brokers,Horizon Manufacturing Ltd.
para#749,COMPANY,Bids,Crestview Industries
para#749,COMPANY,Designated,Crestview Industries
para#749,PERSON,Bid,Peter Brown
para#749,COMPANY,Bid cum Application Form,Meridian Group
para#749,PERSON,UPI Bidders,Peter Jones
para#749,PERSON,UPI ID,Peter Garcia
para#749,COMPANY,ASBA Account,Falcon Enterprises Limited
para#749,COMPANY,Bidder,Ironwood Holdings
para#749,PERSON,UPI ID,Peter Garcia
para#749,PERSON,Bidder’s DP ID,Peter Miller
para#749,COMPANY,First Bidder,Pinnacle Corp
para#749,COMPANY,Registrar,Silverline Corp
para#750,PERSON,Bid Amount,Peter Davis
para#750,COMPANY,Bidders’ DP ID,Cobalt Industries Ltd.
para#750,COMPANY,First Bidder,Pinnacle Corp
para#750,COMPANY,Registrar,Silverline Corp
para#754,COMPANY,Nuvama Wealth Management Limited,Lakeside Manufacturing
para#755,PERSON,Bandra Kurla Complex,Peter Rodriguez
para#756,ADDRESS,"Bandra East, Mumbai – 400 051 Maharashtra, India","106 Aspen Way, Franklin, ST 10006"
para#757,EMAIL,ksh.ipo@nuvama.com,peter.martinez@example.com
para#757,PERSON,Email,Peter Hernandez
para#757,PHONE,+91 22 40094400,+91 10000 02
para#758,EMAIL,customerservice.mb@nuvama.com,peter.lopez@example.com
para#759,COMPANY,Lokesh Shah/ Soumavo Sarkar,Redstone Group
para#762,ADDRESS,"ICICI Securities Limited ICICI Venture House Appasaheb Marathe Marg Prabhadevi, Mumbai – 400 025 Maharashtra, India","107 Magnolia Boulevard, Greenville, ST 10007"
para#763,EMAIL,customercare@icicisecurities.com,peter.wilson@example.com
para#763,EMAIL,ksh@icicisecurities.com,peter.anderson@example.com
para#763,PHONE,+91 22 6807 7100,+91 10000 03
para#764,PERSON,Kishan Rastogi/Abhijit Diwan,Peter Thomas
para#776,COMPANY,Nuvama Wealth Management Limited,Lakeside Manufacturing
para#777,COMPANY,G Block,Acme Industries Limited
para#778,ADDRESS,"Bandra Kurla Complex, Bandra East Mumbai 400 051","108 Maple Avenue, Springfield, ST 10008"
para#780,PHONE,91 22 4009 4400,+91 10000 04
para#781,EMAIL,sheetal.parab@nuvama.com,peter.taylor@example.com
para#781,EMAIL,prakash.boricha@nuvama.com,peter.moore@example.com
para#781,EMAIL,ksh.ipo@nuvama.com,peter.martinez@example.com
para#781,PERSON,Email,Peter Hernandez
para#786,ADDRESS,"ICICI Securities Limited ICICI Venture House Appasaheb Marathe Marg Prabhadevi, Mumbai – 400 025 Maharashtra, India","107 Magnolia Boulevard, Greenville, ST 10007"
para#787,EMAIL,ksh@icicisecurities.com,peter.anderson@example.com
para#787,PHONE,+91 22 6807 7100,+91 10000 03
para#788,EMAIL,customercare@icicisecurities.com,peter.wilson@example.com
para#789,PERSON,Kishan Rastogi/Abhijit Diwan,Peter Thomas
para#792,COMPANY,Legal Counsel,Northstar Corporation
para#793,COMPANY,One World Centre,Bluewater Holdings
para#794,COMPANY,Tower 2A & 2B,Summit Enterprises Ltd.
para#795,ADDRESS,"Senapati Bapat Marg, Lower Parel (West) Mumbai – 400 013","109 Oak Street, Fairview, ST 10009"
para#797,EMAIL,ipo@trilegal.com,peter.jackson@example.com
para#798,PHONE,+91 22 4079 1000,+91 10000 05
para#800,COMPANY,Registrar,Silverline Corp
para#801,PERSON,C-101,Peter Martin
para#801,COMPANY,MUFG Intime India Private Limited,Vertex Global Limited
para#802,COMPANY,India Telephone: +91,Silverline Corp
para#802,PERSON,Vikhroli,Peter Lee
para#803,EMAIL,kshinternational.ipo@in.mpms.mufg.com,peter.perez@example.com
para#804,EMAIL,kshinternational.ipo@in.mpms.mufg.com,peter.perez@example.com
para#805,COMPANY,INR000004058,Horizon Manufacturing Ltd.
para#805,PERSON,Shanti Gopalkrishnan,Peter Thompson
para#807,COMPANY,U67190MH1999PTC118368,Crestview Industries
para#809,COMPANY,FIG-OPS Department,Meridian Group
para#809,COMPANY,HDFC Bank Limited,Falcon Enterprises Limited
para#810,ADDRESS,"Next to Kanjurmarg Railway Station, Kanjurmarg (East) Mumbai – 400042, Maharashtra, India","110 Cedar Lane, Riverside, ST 10010"
para#811,PHONE,+91 22 30752914,+91 10000 06
para#811,PHONE,+91 22 30752928,+91 10000 07
para#811,PHONE,+91 22 30752929,+91 10000 08
para#812,EMAIL,pravin.teli2@hdfcbank.com,peter.white@example.com
para#812,EMAIL,tushar.gavankar@hdfcbank.com,peter.harris@example.com
para#812,EMAIL,eric.bacha@hdfcbank.com,peter.sanchez@example.com
para#812,EMAIL,sachin.gawade@hdfcbank.com,peter.clark@example.com
para#812,EMAIL,siddharth.jadhav@hdfcbank.com,peter.ramirez@example.com
para#813,PERSON,Jadhav/ Tushar Gavankar,Peter Lewis
para#813,PERSON,Eric Bacha/,Emma Doe
para#818,COMPANY,Bank Limited,Ironwood Holdings
para#819,COMPANY,Capital Market Division,Pinnacle Corp
para#820,COMPANY,Varun Badai,Cobalt Industries Ltd.
para#820,EMAIL,Ipocmg@icicibank.com,emma.parker@example.com
para#820,PHONE,022-68052182,+1 555-100-0009
para#820,PERSON,Marg Backbay Reclamation Churchgate,Emma Smith
para#820,COMPANY,5th Floor,Lakeside Manufacturing
para#824,COMPANY,HDFC Bank Limited,Falcon Enterprises Limited
para#825,COMPANY,FIG-OPS Department,Meridian Group
para#825,COMPANY,HDFC Bank Limited,Falcon Enterprises Limited
para#826,ADDRESS,"Next to Kanjurmarg Railway Station, Kanjurmarg (East) Mumbai – 400042, Maharashtra, India","110 Cedar Lane, Riverside, ST 10010"
para#827,PHONE,+91 22 30752914,+91 10000 06
para#827,PHONE,+91 22 30752928,+91 10000 07
para#827,PHONE,+91 22 30752929,+91 10000 08
para#828,EMAIL,pravin.teli2@hdfcbank.com,peter.white@example.com
para#828,EMAIL,tushar.gavankar@hdfcbank.com,peter.harris@example.com
para#828,EMAIL,eric.bacha@hdfcbank.com,peter.sanchez@example.com
para#828,EMAIL,sachin.gawade@hdfcbank.com,peter.clark@example.com
para#828,EMAIL,siddharth.jadhav@hdfcbank.com,peter.ramirez@example.com
para#829,PERSON,Jadhav/ Tushar Gavankar,Peter Lewis
para#829,PERSON,Eric Bacha/,Emma Doe
para#834,COMPANY,Bank Limited,Ironwood Holdings
para#835,COMPANY,Capital Market Division,Pinnacle Corp
para#836,COMPANY,Varun Badai,Cobalt Industries Ltd.
para#836,EMAIL,Ipocmg@icicibank.com,emma.parker@example.com
para#836,PHONE,022-68052182,+1 555-100-0009
para#836,PERSON,Marg Backbay Reclamation Churchgate,Emma Smith
para#836,COMPANY,5th Floor,Lakeside Manufacturing
para#839,COMPANY,HDFC Bank Limited,Falcon Enterprises Limited
para#840,COMPANY,FIG-OPS Department,Meridian Group
para#840,COMPANY,HDFC Bank Limited,Falcon Enterprises Limited
para#841,ADDRESS,"Next to Kanjurmarg Railway Station, Kanjurmarg (East) Mumbai – 400042, Maharashtra, India","110 Cedar Lane, Riverside, ST 10010"
para#842,PHONE,+91 22 30752914,+91 10000 06
para#842,PHONE,+91 22 30752928,+91 10000 07
para#842,PHONE,+91 22 30752929,+91 10000 08
para#843,EMAIL,pravin.teli2@hdfcbank.com,peter.white@example.com
para#843,EMAIL,tushar.gavankar@hdfcbank.com,peter.harris@example.com
para#843,EMAIL,eric.bacha@hdfcbank.com,peter.sanchez@example.com
para#843,EMAIL,sachin.gawade@hdfcbank.com,peter.clark@example.com
para#843,EMAIL,siddharth.jadhav@hdfcbank.com,peter.ramirez@example.com
para#844,PERSON,Jadhav/ Tushar Gavankar,Peter Lewis
para#844,PERSON,Eric Bacha/,Emma Doe
para#848,COMPANY,Designated Intermediaries,Redstone Group
para#850,COMPANY,Application	Forms,Acme Industries Limited
para#850,PERSON,Bid,Peter Brown
para#850,COMPANY,CDP,Northstar Corporation
para#850,COMPANY,Syndicate/Sub Syndicate,Bluewater Holdings
para#850,COMPANY,RIB,Summit Enterprises Ltd.
para#850,COMPANY,ASBA,Vertex Global Limited
para#850,COMPANY,SCSBs,Silverline Corp
para#852,COMPANY,SCSBs,Silverline Corp
para#852,COMPANY,SCSBs,Silverline Corp
para#852,PERSON,UPI Bidders,Peter Jones
para#852,COMPANY,ICDR Master Circular,Horizon Manufacturing Ltd.
para#854,COMPANY,Bid cum Application Forms,Crestview Industries
para#854,COMPANY,Syndicate,Meridian Group
para#854,COMPANY,Bid cum Application Forms,Crestview Industries
para#854,COMPANY,Syndicate,Meridian Group
para#854,COMPANY,Bids,Crestview Industries
para#854,COMPANY,Bids,Crestview Industries
para#856,COMPANY,ASBA Forms,Falcon Enterprises Limited
para#857,PERSON,Share Transfer Agents,Emma Johnson
para#857,COMPANY,Registrar,Silverline Corp
para#864,COMPANY,LLP,Ironwood Holdings
para#864,COMPANY,Kirtane & Pandit,Pinnacle Corp
para#865,COMPANY,Lalit Muljibhai Sarvaiya,Cobalt Industries Ltd.
para#866,COMPANY,Kanj & Co. LLP,Lakeside Manufacturing
para#869,COMPANY,LLP,Ironwood Holdings
para#869,COMPANY,Kirtane & Pandit,Pinnacle Corp
para#870,COMPANY,Gopal House,Redstone Group
para#870,COMPANY,5th Floor,Lakeside Manufacturing
para#871,COMPANY,Plot A1 Opp Harshal Hall Kothrud,Acme Industries Limited
